gene	PiaoT1	PiaoT2	PiaoT3	PiaoT4	PiaoT5	PiaoT6	PiaoT7	PiaoT8	PiaoT9	CtrlT7	CtrlT8	CtrlT1	CtrlT2	CtrlT9	CtrlT10	CtrlT3	CtrlT4	CtrlT11	CtrlT12	CtrlT5	CtrlT6
ENSGALG00000005749	305.346	317.474	329.33	280.555	261.961	266.761	267.51	247.457	265.208	357.487	324.735	347.114	292.771	289.786	292.61	305.057	269.165	321.568	276.15	267.813	276.648
ENSGALG00000028175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000026704	11.9923	9.03164	6.61225	6.47841	9.22242	10.3428	5.57536	7.78714	3.93171	6.94925	12.2197	11.5147	10.4594	5.97601	6.15119	11.515	10.1894	8.05454	10.7945	11.72	6.7773
ENSGALG00000027579	29.9696	28.9586	24.7786	45.1185	40.4719	38.5334	45.3839	39.9329	48.453	23.7489	29.8047	22.7688	28.7105	33.0438	44.7496	39.2341	37.994	37.3937	29.6744	37.1325	31.476
ENSGALG00000025644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000028382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000008372	31.7456	34.5622	32.5886	26.6897	29.6957	29.7647	29.3016	27.0776	28.3521	33.4596	34.0316	31.245	31.4821	29.1659	28.4611	27.7419	27.6439	30.5968	31.5052	28.9122	29.5048
ENSGALG00000003596	12.7587	12.0658	9.57482	11.33	10.8282	10.375	11.6102	12.6523	12.8833	12.668	12.9173	13.6184	14.1481	12.4423	12.3903	13.2184	13.5607	12.043	12.4864	15.1724	13.7507
ENSGALG00000011403	60.5246	66.2496	65.4215	51.783	49.1023	50.1185	57.4304	50.8	58.2855	64.3207	63.1068	64.8819	59.1714	52.3094	55.1226	55.0831	57.0753	61.9118	58.7161	53.8575	58.9187
ENSGALG00000005473	1.36137	1.32192	1.28537	1.79138	1.20333	1.42448	2.37845	1.33848	0.921125	2.25248	1.58111	0.772779	1.17668	1.56232	1.61375	1.0004	0.890767	1.94508	1.2205	0.916806	1.11452
ENSGALG00000002709	9.70377	10.0032	9.77763	11.3399	9.12562	9.31231	9.19475	9.27925	7.62346	9.82833	11.3858	11.1817	8.86738	10.7598	11.2374	10.6781	10.0563	13.0337	13.3171	11.7859	12.0039
ENSGALG00000016820	3.13984	2.76123	2.91075	4.97832	3.55773	3.89064	4.31615	3.81907	3.74937	2.51546	3.15039	4.91578	2.44328	3.53157	5.03189	4.78172	3.54312	5.39607	3.87368	4.4404	5.19614
ENSGALG00000010173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000027162	0.0275032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000015952	5.18653	2.79448	3.92079	8.17684	3.9943	7.19293	2.95858	3.98518	3.55488	2.66752	3.10841	1.32824	3.02006	4.42847	5.38106	3.1836	2.32348	6.5452	3.21813	2.29143	3.88919
ENSGALG00000008822	0.102352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000001312	7.6402	7.50063	8.88671	10.3183	6.81665	10.5808	6.33508	6.97027	6.75239	8.10402	9.32626	9.26113	8.23378	9.26402	8.80274	10.2528	9.21975	8.73957	6.91269	7.25876	10.1778
ENSGALG00000012123	0.979494	0.90572	1.12746	0.961987	1.04672	1.72158	0.302578	0.319961	0.336972	1.23848	1.37785	0.965807	1.44075	1.10063	0.788977	1.04678	0.712229	0.774045	0.355208	0.551857	0.507099
ENSGALG00000006384	0.275838	0.240958	0.116123	0.168715	0.0583789	0.0850212	0	0.0286375	0.0599822	0	0.0273957	0.0642063	0.0274436	0.0647133	0.135502	0	0	0	0.0946683	0.0802389	0.125633
ENSGALG00000016668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000005027	21.9206	21.8032	21.5405	21.679	23.3317	22.7264	23.3963	21.6965	22.1135	22.4021	25.0849	22.9614	24.0383	23.1135	42.1546	23.1607	26.575	17.3375	21.836	26.5205	23.9432
ENSGALG00000010052	9.39422	10.767	10.7825	11.1087	8.85017	8.89038	8.37792	6.14849	8.00747	12.3453	13.0827	10.4812	11.2667	10.3901	9.31533	12.0341	9.68315	10.8484	10.7087	9.20825	10.9811
ENSGALG00000025785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000001730	6.88019	7.82507	7.92166	8.56825	7.81118	7.72525	7.37484	7.82392	7.58073	7.37991	7.17554	7.48251	7.53707	7.30319	6.97377	7.24194	6.83496	8.5638	8.65653	7.0895	8.15997
ENSGALG00000023937	1.86744	2.63203	3.56323	2.83929	3.12493	1.76652	1.98564	1.47146	2.45789	2.42095	2.61025	2.2732	4.14709	2.47807	2.72057	0.706078	2.05315	4.11059	3.98454	2.20616	2.82432
ENSGALG00000011926	2.48415	3.10205	1.86438	0.76347	1.06204	0.55905	1.86957	1.05018	1.02151	1.85612	1.38377	2.06887	2.64788	0.655929	0.455037	0.382413	0.531234	0.187927	0.265655	0.310316	0.397999
ENSGALG00000018257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000026644	111.278	120.758	117.206	123.016	141.125	124.818	132.905	122.487	110.921	109.539	112.356	118.451	127.435	128.872	114.593	104.184	126.57	92.8427	107.747	106.073	101.318
ENSGALG00000026762	17.3728	18.3674	12.3506	15.9199	14.7231	16.8435	17.3544	16.6897	12.5176	12.7515	14.0165	16.0439	13.6996	17.3384	17.5558	15.3476	18.9372	12.5354	13.7678	16.8382	12.2611
ENSGALG00000008587	42.8749	50.4948	42.1241	40.6618	37.889	35.562	47.4719	47.2744	40.2911	40.4528	42.0316	60.2987	38.3501	42.5196	40.3145	46.046	39.1317	39.8886	40.8767	46.3838	39.3557
ENSGALG00000011913	17.2941	9.90416	21.4636	26.0388	14.1206	27.2217	6.51464	8.24539	9.6935	13.4994	17.9186	12.8231	12.9797	19.1084	15.2406	17.058	12.51	16.1675	6.06807	6.36136	13.6672
ENSGALG00000005410	30.9925	57.524	26.1795	30.9346	39.0793	20.4128	79.2089	74.5986	92.0586	31.6173	22.5987	36.0005	35.0861	22.427	34.5478	26.9757	31.7571	35.1449	42.3317	48.8789	44.0507
ENSGALG00000026113	22.0412	27.0462	24.2651	23.367	21.8266	20.2237	30.0449	25.427	23.3142	23.1637	24.7702	21.4103	20.0948	21.0704	22.3857	19.3259	20.7621	23.4546	21.0826	21.3485	20.5336
ENSGALG00000023406	0	0	0.280697	0	0	0	0	0	0	0	0	0	0.193323	0	0	0	0	0	0	0	0
