Length	GC
ENSGALG00000000003	3582	0.431602456728085
ENSGALG00000000004	3120	0.376602564102564
ENSGALG00000000011	1714	0.489498249708285
ENSGALG00000000013	1137	0.49868073878628
ENSGALG00000000014	918	0.643790849673203
ENSGALG00000000017	619	0.64297253634895
ENSGALG00000000019	2880	0.5125
ENSGALG00000000033	971	0.460350154479918
ENSGALG00000000038	817	0.674418604651163
ENSGALG00000000040	916	0.622270742358079
ENSGALG00000000041	2537	0.539613716988569
ENSGALG00000000043	420	0.661904761904762
ENSGALG00000000044	1731	0.688041594454073
ENSGALG00000000048	1863	0.630703166935051
ENSGALG00000000049	1577	0.606848446417248
ENSGALG00000000054	3779	0.408838317015083
ENSGALG00000000055	1228	0.486156351791531
ENSGALG00000000056	2392	0.44690635451505
ENSGALG00000000059	1194	0.632328308207705
ENSGALG00000000062	3069	0.380254154447703
ENSGALG00000000065	1453	0.562973158981418
ENSGALG00000000067	1657	0.608931804465902
ENSGALG00000000071	1471	0.45343303874915
ENSGALG00000000075	4989	0.562036480256564
ENSGALG00000000076	2633	0.566654006836308
ENSGALG00000000080	6004	0.618421052631579
ENSGALG00000000081	1578	0.562103929024081
ENSGALG00000000085	5876	0.454050374404357
ENSGALG00000000086	2527	0.517214087851207
ENSGALG00000000091	3651	0.480142426732402
ENSGALG00000000094	3068	0.558344198174707
ENSGALG00000000098	1713	0.518388791593695
ENSGALG00000000099	4763	0.540625656099097
ENSGALG00000000102	797	0.476787954830615
ENSGALG00000000104	1659	0.578059071729958
ENSGALG00000000106	3655	0.487277701778386
ENSGALG00000000107	1767	0.595925297113752
ENSGALG00000000109	1442	0.574895977808599
ENSGALG00000000112	984	0.61280487804878
ENSGALG00000000113	1707	0.606912712360867
ENSGALG00000000114	624	0.477564102564103
ENSGALG00000000115	637	0.566718995290424
ENSGALG00000000117	4443	0.576862480306099
ENSGALG00000000119	728	0.423076923076923
ENSGALG00000000120	2467	0.450344548034049
ENSGALG00000000122	1139	0.587357330992098
ENSGALG00000000123	1356	0.567846607669616
ENSGALG00000000129	2627	0.569470879330034
ENSGALG00000000132	3532	0.520385050962627
ENSGALG00000000136	705	0.529078014184397
ENSGALG00000000137	788	0.522842639593909
ENSGALG00000000139	888	0.647522522522523
ENSGALG00000000140	789	0.423320659062104
ENSGALG00000000141	674	0.667655786350148
ENSGALG00000000142	2144	0.44169776119403
ENSGALG00000000146	5187	0.494119915172547
ENSGALG00000000149	936	0.450854700854701
ENSGALG00000000150	592	0.511824324324324
ENSGALG00000000151	5532	0.486261749819234
ENSGALG00000000154	1466	0.590040927694407
ENSGALG00000000155	948	0.465189873417722
ENSGALG00000000156	2303	0.595744680851064
ENSGALG00000000158	915	0.643715846994536
ENSGALG00000000160	3237	0.621254247760272
ENSGALG00000000161	879	0.505119453924915
ENSGALG00000000162	1110	0.606306306306306
ENSGALG00000000164	2118	0.577903682719547
ENSGALG00000000165	1542	0.452658884565499
ENSGALG00000000166	917	0.632497273718648
ENSGALG00000000168	1742	0.577497129735936
ENSGALG00000000169	807	0.493184634448575
ENSGALG00000000171	2206	0.419310970081596
ENSGALG00000000172	1442	0.58876560332871
ENSGALG00000000177	4965	0.419738167170191
ENSGALG00000000178	1543	0.62799740764744
ENSGALG00000000181	2106	0.650997150997151
ENSGALG00000000182	2490	0.646987951807229
ENSGALG00000000183	2693	0.524693650204233
ENSGALG00000000184	2789	0.390103979921119
ENSGALG00000000186	978	0.580777096114519
ENSGALG00000000187	2499	0.558223289315726
ENSGALG00000000188	1374	0.454876273653566
ENSGALG00000000189	5679	0.415037858777954
ENSGALG00000000193	3078	0.507797270955166
ENSGALG00000000194	2987	0.590893873451624
ENSGALG00000000195	2126	0.444967074317968
ENSGALG00000000196	597	0.52428810720268
ENSGALG00000000199	963	0.620976116303219
ENSGALG00000000201	3852	0.644080996884735
ENSGALG00000000206	2519	0.52123858674077
ENSGALG00000000208	3018	0.470178926441352
ENSGALG00000000209	2191	0.562756732085806
ENSGALG00000000215	3737	0.436713941664437
ENSGALG00000000217	4021	0.595125590649092
ENSGALG00000000218	2085	0.379856115107914
ENSGALG00000000220	8550	0.424678362573099
ENSGALG00000000221	2517	0.613428684942392
ENSGALG00000000223	1554	0.508365508365508
ENSGALG00000000225	2037	0.575355915562101
ENSGALG00000000226	2044	0.531800391389432
ENSGALG00000000227	2527	0.54412346656114
ENSGALG00000000230	1973	0.554485554992397
ENSGALG00000000231	3501	0.388460439874322
ENSGALG00000000233	2205	0.613151927437642
ENSGALG00000000234	5872	0.482970027247956
ENSGALG00000000235	1502	0.405459387483356
ENSGALG00000000238	2802	0.629907209136331
ENSGALG00000000239	706	0.582152974504249
ENSGALG00000000241	4759	0.40260558940954
ENSGALG00000000242	2651	0.471897397208601
ENSGALG00000000243	1411	0.486180014174344
ENSGALG00000000244	1816	0.553964757709251
ENSGALG00000000247	3407	0.425007337833871
ENSGALG00000000249	782	0.583120204603581
ENSGALG00000000251	1589	0.574575204531152
ENSGALG00000000252	5970	0.540033500837521
ENSGALG00000000253	1969	0.444388014220416
ENSGALG00000000255	6224	0.368733933161954
ENSGALG00000000258	7497	0.447378951580632
ENSGALG00000000259	2000	0.562
ENSGALG00000000264	4862	0.380090497737557
ENSGALG00000000270	1246	0.613964686998395
ENSGALG00000000271	2520	0.535714285714286
ENSGALG00000000272	3029	0.394189501485639
ENSGALG00000000273	2784	0.405890804597701
ENSGALG00000000274	1917	0.584246218049035
ENSGALG00000000275	3293	0.406620103249317
ENSGALG00000000276	6316	0.445376820772641
ENSGALG00000000277	391	0.470588235294118
ENSGALG00000000280	885	0.51638418079096
ENSGALG00000000284	432	0.5625
ENSGALG00000000285	1290	0.495348837209302
ENSGALG00000000287	843	0.562277580071174
ENSGALG00000000291	1928	0.452800829875519
ENSGALG00000000293	4776	0.568048576214405
ENSGALG00000000295	3967	0.466599445424754
ENSGALG00000000296	6895	0.453807106598985
ENSGALG00000000299	6381	0.526563234602727
ENSGALG00000000300	2906	0.475567790777701
ENSGALG00000000302	978	0.560327198364008
ENSGALG00000000304	2704	0.460059171597633
ENSGALG00000000305	5509	0.394626974042476
ENSGALG00000000307	2028	0.465483234714004
ENSGALG00000000308	579	0.66839378238342
ENSGALG00000000309	1233	0.619626926196269
ENSGALG00000000311	5634	0.456691515796947
ENSGALG00000000312	2394	0.52046783625731
ENSGALG00000000313	996	0.594377510040161
ENSGALG00000000314	2110	0.572037914691943
ENSGALG00000000316	1434	0.616457461645746
ENSGALG00000000317	3184	0.537688442211055
ENSGALG00000000318	1253	0.634477254588986
ENSGALG00000000324	1527	0.597904387688278
ENSGALG00000000327	11496	0.532794015309673
ENSGALG00000000329	1548	0.549741602067183
ENSGALG00000000332	6948	0.600028785261946
ENSGALG00000000336	3422	0.548509643483343
ENSGALG00000000337	735	0.610884353741497
ENSGALG00000000341	622	0.540192926045016
ENSGALG00000000346	1350	0.516296296296296
ENSGALG00000000349	1344	0.570684523809524
ENSGALG00000000352	2330	0.469527896995708
ENSGALG00000000353	1120	0.405357142857143
ENSGALG00000000356	1663	0.599518941671678
ENSGALG00000000357	4107	0.450693937180424
ENSGALG00000000360	6852	0.505837711617046
ENSGALG00000000362	5097	0.640376692171866
ENSGALG00000000363	5931	0.568032372281234
ENSGALG00000000364	768	0.5625
ENSGALG00000000365	480	0.583333333333333
ENSGALG00000000366	4888	0.485679214402619
ENSGALG00000000367	1600	0.553125
ENSGALG00000000368	2551	0.473539788318307
ENSGALG00000000371	3674	0.560152422427872
ENSGALG00000000372	1296	0.48070987654321
ENSGALG00000000373	1366	0.738653001464129
ENSGALG00000000374	1875	0.6352
ENSGALG00000000377	2423	0.465125877011969
ENSGALG00000000378	1029	0.584062196307094
ENSGALG00000000379	3414	0.577035735207967
ENSGALG00000000382	2503	0.547742708749501
ENSGALG00000000385	2379	0.459857082807902
ENSGALG00000000386	5973	0.487024945588481
ENSGALG00000000388	1482	0.555330634278003
ENSGALG00000000390	2891	0.439640262884815
ENSGALG00000000394	2684	0.576378539493294
ENSGALG00000000395	1584	0.451388888888889
ENSGALG00000000396	1464	0.465846994535519
ENSGALG00000000397	5295	0.508026440037772
ENSGALG00000000399	1493	0.484929671801741
ENSGALG00000000400	3120	0.608974358974359
ENSGALG00000000401	2685	0.659217877094972
ENSGALG00000000402	3617	0.530273707492397
ENSGALG00000000404	1942	0.384654994850669
ENSGALG00000000405	2993	0.546942866688941
ENSGALG00000000406	1089	0.532598714416896
ENSGALG00000000407	1653	0.519056261343013
ENSGALG00000000408	1303	0.401381427475058
ENSGALG00000000409	3003	0.520479520479521
ENSGALG00000000410	4693	0.462177711485191
ENSGALG00000000412	1471	0.588715159755269
ENSGALG00000000417	1623	0.605668515095502
ENSGALG00000000419	625	0.5696
ENSGALG00000000420	1572	0.562977099236641
ENSGALG00000000421	1161	0.640826873385013
ENSGALG00000000424	855	0.485380116959064
ENSGALG00000000426	1558	0.561617458279846
ENSGALG00000000427	6670	0.553823088455772
ENSGALG00000000428	574	0.48780487804878
ENSGALG00000000430	5468	0.413862472567666
ENSGALG00000000433	1963	0.61079979623026
ENSGALG00000000436	718	0.743732590529248
ENSGALG00000000437	1273	0.543597800471328
ENSGALG00000000438	5315	0.409783631232361
ENSGALG00000000439	357	0.535014005602241
ENSGALG00000000441	1551	0.539007092198582
ENSGALG00000000442	1500	0.524666666666667
ENSGALG00000000443	729	0.578875171467764
ENSGALG00000000446	529	0.531190926275992
ENSGALG00000000447	1563	0.595649392194498
ENSGALG00000000449	3760	0.590425531914894
ENSGALG00000000451	913	0.399780941949617
ENSGALG00000000452	1978	0.565217391304348
ENSGALG00000000453	2706	0.572062084257206
ENSGALG00000000454	2667	0.503187101612299
ENSGALG00000000456	439	0.649202733485194
ENSGALG00000000458	3276	0.572039072039072
ENSGALG00000000461	4322	0.602498843128181
ENSGALG00000000463	2269	0.46584398413398
ENSGALG00000000464	3078	0.603963612735543
ENSGALG00000000466	1660	0.60421686746988
ENSGALG00000000468	2848	0.509129213483146
ENSGALG00000000469	1404	0.513532763532764
ENSGALG00000000470	1944	0.525720164609053
ENSGALG00000000474	225	0.511111111111111
ENSGALG00000000476	1557	0.488118175979448
ENSGALG00000000477	813	0.463714637146371
ENSGALG00000000478	6450	0.589457364341085
ENSGALG00000000479	2173	0.580303727565578
ENSGALG00000000483	783	0.597701149425287
ENSGALG00000000484	1323	0.591836734693878
ENSGALG00000000486	2590	0.48957528957529
ENSGALG00000000489	743	0.586810228802153
ENSGALG00000000490	3160	0.498417721518987
ENSGALG00000000495	2788	0.595767575322812
ENSGALG00000000497	1526	0.579292267365662
ENSGALG00000000498	4539	0.566204009693765
ENSGALG00000000503	2137	0.56621431913898
ENSGALG00000000504	1722	0.566202090592335
ENSGALG00000000505	3609	0.588805763369354
ENSGALG00000000507	1890	0.612169312169312
ENSGALG00000000508	1027	0.508276533592989
ENSGALG00000000509	6681	0.608142493638677
ENSGALG00000000510	3879	0.451147202887342
ENSGALG00000000511	1299	0.476520400307929
ENSGALG00000000513	2362	0.552921253175275
ENSGALG00000000514	785	0.611464968152866
ENSGALG00000000516	4309	0.504293339521931
ENSGALG00000000518	1725	0.558260869565217
ENSGALG00000000519	1331	0.507137490608565
ENSGALG00000000521	2380	0.660504201680672
ENSGALG00000000522	1473	0.70061099796334
ENSGALG00000000523	1400	0.467857142857143
ENSGALG00000000525	2707	0.490949390469154
ENSGALG00000000526	722	0.601108033240997
ENSGALG00000000527	1216	0.539473684210526
ENSGALG00000000528	876	0.636986301369863
ENSGALG00000000529	1120	0.574107142857143
ENSGALG00000000530	2290	0.497379912663755
ENSGALG00000000533	1241	0.456889605157131
ENSGALG00000000534	1873	0.633208756006407
ENSGALG00000000535	1310	0.462595419847328
ENSGALG00000000538	1046	0.538240917782027
ENSGALG00000000540	1565	0.543769968051118
ENSGALG00000000541	2494	0.513632718524459
ENSGALG00000000542	665	0.6
ENSGALG00000000543	1670	0.550898203592814
ENSGALG00000000544	837	0.556750298685783
ENSGALG00000000545	1218	0.611658456486043
ENSGALG00000000546	6312	0.447877059569075
ENSGALG00000000547	2881	0.609510586601874
ENSGALG00000000548	1926	0.552440290758048
ENSGALG00000000549	539	0.634508348794063
ENSGALG00000000550	2566	0.463367108339829
ENSGALG00000000551	6115	0.487489779231398
ENSGALG00000000556	571	0.423817863397548
ENSGALG00000000557	1236	0.620550161812298
ENSGALG00000000558	1951	0.566376217324449
ENSGALG00000000560	1178	0.541595925297114
ENSGALG00000000562	830	0.513253012048193
ENSGALG00000000564	2932	0.412346521145975
ENSGALG00000000568	2856	0.629201680672269
ENSGALG00000000569	5755	0.479756733275413
